№;Кейс;Тест;Пройден ли тест
1;Запуск приложения;Холодный запуск приложения;
2;Запуск приложения;Стандартный запуск приложения;
3;Установка, обновление приложения;Установка приложения;
4;Установка, обновление приложения;Переустановка приложения(установка поверх существующего);
5;Авторизация;Авторизация с пустым логином;
6;Авторизация;Авторизация с пустым паролем;
7;Авторизация;Авторизация с неверным логином;
8;Авторизация;Авторизация с корректным логином, неправильным паролем;
9;Авторизация;Авторизация с корректным логинм и корректным паролем;
10;Навигация по меню; из Главного в Новости;
11;Навигация по меню; из Главного в О программме;
12;Навигация по меню; из Новости в Главное;
13;Навигация по меню; из Новости в О программме;
14;Навигация по меню; из О программме назад в Главное;
15;Навигация по меню; из Главного в Любовь;
16;Навигация по меню; из Новости в Любовь;
17;Навигация по меню; из О программе в Любовь;
18;Навигация по меню; из Любовь в Главное;
19;Навигация по меню; из Любовь в Новости;
20;Навигация по меню; из Любовь в О программе;
21;Взаимодействие с Главной страницей; раскрытие первой новости;
22;Взаимодействие с Главной страницей; раскрытие последеней новости;
23;Взаимодействие с Главной страницей; раскрытие всех новостей;
24;Взаимодействие с Главной страницей; сворачивание всех новостей;
25;Взаимодействие с Главной страницей; сворачивание блока Новости;
26;Взаимодейтсиве с Новостной страницей; раскрытие первой новости;
27;Взаимодейтсиве с Новостной страницей; раскрытие последеней новости;
28;Взаимодейтсиве с Новостной страницей; раскрытие всех новостей;
29;Взаимодейтсиве с Новостной страницей; сворачивание всех новостей;
30;Взаимодейтсиве с Новостной страницей; изменение сортировки;
31;Взаимодейтсиве с Новостной страницей: изменение фильтра; по категории(несуществующему);
32;Взаимодейтсиве с Новостной страницей: изменение фильтра; по категории(существующему);
33;Взаимодейтсиве с Новостной страницей: изменение фильтра; по дате: дата1 = дата2( есть новости);
34;Взаимодейтсиве с Новостной страницей: изменение фильтра; по дате: дата1 = дата2(нет новостей);
35;Взаимодейтсиве с Новостной страницей: изменение фильтра; по дате: дата1 > дата2(из прошлого периода);
36;Взаимодейтсиве с Новостной страницей: изменение фильтра; по дате: дата1 > дата2(из будущего периода);
37;Взаимодейтсиве с Новостной страницей: изменение фильтра; по дате: дата1 < дата2(есть новости);
38;Взаимодейтсиве с Новостной страницей: изменение фильтра; по дате: дата1 < дата2(нет новостей);
39;Взаимодейтсиве с Новостной страницей: изменение фильтра; пустой фильтр;
40;Взаимодейтсиве с Новостной страницей: изменение фильтра; отмена внесенных изменений в фильтр;
41;Взаимодейтсиве с Новостной страницей; панель управления (открытие);
42;Взаимодейтсиве с Новостной страницей: панель управления: фильтр; активные;
43;Взаимодейтсиве с Новостной страницей: панель управления: фильтр; неактивные;
44;Взаимодейтсиве с Новостной страницей: панель управления: создание нововй новости; отмена созания новости;
45;Взаимодейтсиве с Новостной страницей: панель управления: создание нововй новости; с пустыми полями;
46;Взаимодейтсиве с Новостной страницей: панель управления: создание нововй новости; в прошлом;
47;Взаимодейтсиве с Новостной страницей: панель управления: создание нововй новости; в будущем;
48;Взаимодейтсиве с Новостной страницей: панель управления: создание нововй новости; с несуществующей категроией (набранной руками);
49;Взаимодейтсиве с Новостной страницей: панель управления: создание нововй новости; заполненные все поля корректно;
50;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; изменени даты публикации в прошлое;
51;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; изменение с актив на неактив;
52;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; изменение с неактив на актив;
53;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; изменение категории;
54;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; изменение заголовка;
55;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; изменение описания;
56;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; удаление заголовка;
57;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; удаление описания;
58;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; изменени даты публикации в будущее;
59;Взаимодейтсиве с Новостной страницей: панель управления: редактирование новости; отмена редктирования новости;
60;Взаимодейтсиве с Новостной страницей: панель управления; удаление активной новости;
61;Взаимодейтсиве с Новостной страницей: панель управления; удаление неактивной новости;
62;Навигация по меню; с Новостной страницей: панель управления: возврат на страницу Новости;
63;Навигация по меню; с Новостной страницей: панель управления: открытие Новости;
64;Навигация по меню; с Новостной страницей: панель управления: открытие Главной;
65;Навигация по меню; с Новостной страницей: панель управления: открытие О програме;
66;Навигация по меню; с Новостной страницей: панель управления: открытие Любовь;
67;Мобильные особенности;Изменение ориентации устройства;
68;Мобильные особенности;Работа приложения без сети(оффлайн);
69;Мобильные особенности;Переключение между приложениями;
70;Мобильные особенности;Сворачивание и открытие приложения;
71;Мобильные особенности;Блокировка\разблокировка смартфона сактивным приложением;
72;Авторизация;Разлогинивание пользователя;

